Date,Investment,Adj Close,Units Purchased,Cumulative Units Purchased,Total Invested,Acquired Value
2014-10-13,30000.0,26384.0703125,1.137049729047564,1.137049729047564,30000.0,30000.000000000004
2014-10-14,0.0,26349.330078125,0.0,1.137049729047564,30000.0,29960.49862591686
2014-10-15,0.0,25999.33984375,0.0,1.137049729047564,30000.0,29562.542324751474
2014-10-16,0.0,25999.33984375,0.0,1.137049729047564,30000.0,29562.542324751474
2014-10-17,0.0,26108.529296875,0.0,1.137049729047564,30000.0,29686.69616284211
2014-10-18,0.0,26429.849609375,0.0,1.137049729047564,30000.0,30052.05333710771
2014-10-19,0.0,26429.849609375,0.0,1.137049729047564,30000.0,30052.05333710771
2014-10-20,0.0,26429.849609375,0.0,1.137049729047564,30000.0,30052.05333710771
2014-10-21,0.0,26575.650390625,0.0,1.137049729047564,30000.0,30217.836075922947
2014-10-22,0.0,26787.23046875,0.0,1.137049729047564,30000.0,30458.41314642684
2014-10-23,0.0,26752.900390625,0.0,1.137049729047564,30000.0,30419.378140396628
2014-10-24,0.0,26752.900390625,0.0,1.137049729047564,30000.0,30419.378140396628
2014-10-25,0.0,26752.900390625,0.0,1.137049729047564,30000.0,30419.378140396628
2014-10-26,0.0,26752.900390625,0.0,1.137049729047564,30000.0,30419.378140396628
2014-10-27,0.0,26752.900390625,0.0,1.137049729047564,30000.0,30419.378140396628
2014-10-28,0.0,26880.8203125,0.0,1.137049729047564,30000.0,30564.82945290438
2014-10-29,0.0,27098.169921875,0.0,1.137049729047564,30000.0,30811.96676735282
2014-10-30,0.0,27346.330078125,0.0,1.137049729047564,30000.0,31094.137205777282
2014-10-31,0.0,27865.830078125,0.0,1.137049729047564,30000.0,31684.83454001749
2014-11-01,0.0,27860.380859375,0.0,1.137049729047564,30000.0,31678.638507314285
2014-11-02,0.0,27860.380859375,0.0,1.137049729047564,30000.0,31678.638507314285
2014-11-03,0.0,27860.380859375,0.0,1.137049729047564,30000.0,31678.638507314285
2014-11-04,0.0,27915.880859375,0.0,1.137049729047564,30000.0,31741.744767276425
2014-11-05,0.0,27915.880859375,0.0,1.137049729047564,30000.0,31741.744767276425
2014-11-06,0.0,27868.630859375,0.0,1.137049729047564,30000.0,31688.019167578925
2014-11-07,0.0,27868.630859375,0.0,1.137049729047564,30000.0,31688.019167578925
2014-11-08,0.0,27874.73046875,0.0,1.137049729047564,30000.0,31694.954726766067
2014-11-09,0.0,27874.73046875,0.0,1.137049729047564,30000.0,31694.954726766067
2014-11-10,0.0,27874.73046875,0.0,1.137049729047564,30000.0,31694.954726766067
2014-11-11,0.0,27910.060546875,0.0,1.137049729047564,30000.0,31735.126782525327
2014-11-12,0.0,28008.900390625,0.0,1.137049729047564,30000.0,31847.51260008037
2014-11-13,30000.0,27940.640625,1.073704801641426,2.21075453068899,60000.0,61769.89785207161
2014-11-14,0.0,28046.66015625,0.0,2.21075453068899,60000.0,62004.28101112407
2014-11-15,0.0,28177.880859375,0.0,2.21075453068899,60000.0,62294.37777507786
2014-11-16,0.0,28177.880859375,0.0,2.21075453068899,60000.0,62294.37777507786
2014-11-17,0.0,28177.880859375,0.0,2.21075453068899,60000.0,62294.37777507786
2014-11-18,0.0,28163.2890625,0.0,2.21075453068899,60000.0,62262.11889402556
2014-11-19,0.0,28032.849609375,0.0,2.21075453068899,60000.0,61973.74928204887
2014-11-20,0.0,28067.560546875,0.0,2.21075453068899,60000.0,62050.48664439146
2014-11-21,0.0,28334.630859375,0.0,2.21075453068899,60000.0,62640.91354776335
2014-11-22,0.0,28499.5390625,0.0,2.21075453068899,60000.0,63005.48510496973
2014-11-23,0.0,28499.5390625,0.0,2.21075453068899,60000.0,63005.48510496973
2014-11-24,0.0,28499.5390625,0.0,2.21075453068899,60000.0,63005.48510496973
2014-11-25,0.0,28338.05078125,0.0,2.21075453068899,60000.0,62648.47415554312
2014-11-26,0.0,28386.189453125,0.0,2.21075453068899,60000.0,62754.89694249212
2014-11-27,0.0,28438.91015625,0.0,2.21075453068899,60000.0,62871.44947578682
2014-11-28,0.0,28693.990234375,0.0,2.21075453068899,60000.0,63435.36891419017
2014-11-29,0.0,28559.619140625,0.0,2.21075453068899,60000.0,63138.30740988872
2014-11-30,0.0,28559.619140625,0.0,2.21075453068899,60000.0,63138.30740988872
2014-12-01,0.0,28559.619140625,0.0,2.21075453068899,60000.0,63138.30740988872
2014-12-02,0.0,28444.009765625,0.0,2.21075453068899,60000.0,62882.72346031735
2014-12-03,0.0,28442.7109375,0.0,2.21075453068899,60000.0,62879.85207015542
2014-12-04,0.0,28562.8203125,0.0,2.21075453068899,60000.0,63145.384415114895
2014-12-05,0.0,28458.099609375,0.0,2.21075453068899,60000.0,62913.872646224365
2014-12-06,0.0,28119.400390625,0.0,2.21075453068899,60000.0,62165.09181383198
2014-12-07,0.0,28119.400390625,0.0,2.21075453068899,60000.0,62165.09181383198
2014-12-08,0.0,28119.400390625,0.0,2.21075453068899,60000.0,62165.09181383198
2014-12-09,0.0,27797.009765625,0.0,2.21075453068899,60000.0,61452.36527896157
2014-12-10,0.0,27831.099609375,0.0,2.21075453068899,60000.0,61527.729555482365
2014-12-11,0.0,27602.009765625,0.0,2.21075453068899,60000.0,61021.268145477225
2014-12-12,0.0,27350.6796875,0.0,2.21075453068899,60000.0,60465.63903656396
2014-12-13,0.0,27319.560546875,0.0,2.21075453068899,60000.0,60396.842255436095
2014-12-14,0.0,27319.560546875,0.0,2.21075453068899,60000.0,60396.842255436095
2014-12-15,30000.0,27319.560546875,1.0981142961112385,3.3088688268002286,90000.0,90396.84225543609
2014-12-16,0.0,26781.439453125,0.0,3.3088688268002286,90000.0,88616.27014328308
2014-12-17,0.0,26710.130859375,0.0,3.3088688268002286,90000.0,88380.31936034074
2014-12-18,0.0,27126.5703125,0.0,3.3088688268002286,90000.0,89758.26288503579
2014-12-19,0.0,27371.83984375,0.0,3.3088688268002286,90000.0,90569.82759115282
2014-12-20,0.0,27701.7890625,0.0,3.3088688268002286,90000.0,91661.58627550179
2014-12-21,0.0,27701.7890625,0.0,3.3088688268002286,90000.0,91661.58627550179
2014-12-22,0.0,27701.7890625,0.0,3.3088688268002286,90000.0,91661.58627550179
2014-12-23,0.0,27506.4609375,0.0,3.3088688268002286,90000.0,91015.27113169194
2014-12-24,0.0,27208.609375,0.0,3.3088688268002286,90000.0,90029.71938152195
2014-12-25,0.0,27403.5390625,0.0,3.3088688268002286,90000.0,90674.7161479086
2014-12-26,0.0,27403.5390625,0.0,3.3088688268002286,90000.0,90674.7161479086
2014-12-27,0.0,27403.5390625,0.0,3.3088688268002286,90000.0,90674.7161479086
