Date,Investment,Adj Close,Units Purchased,Cumulative Units Purchased,Total Invested,Acquired Value
2020-02-01,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-02,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-03,0.0,39872.30859375,0.0,0.0,0.0,0.0
2020-02-04,0.0,40789.37890625,0.0,0.0,0.0,0.0
2020-02-05,0.0,41142.66015625,0.0,0.0,0.0,0.0
2020-02-06,0.0,41306.03125,0.0,0.0,0.0,0.0
2020-02-07,0.0,41141.8515625,0.0,0.0,0.0,0.0
2020-02-08,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-09,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-10,0.0,40979.62109375,0.0,0.0,0.0,0.0
2020-02-11,0.0,41216.140625,0.0,0.0,0.0,0.0
2020-02-12,0.0,41565.8984375,0.0,0.0,0.0,0.0
2020-02-13,0.0,41459.7890625,0.0,0.0,0.0,0.0
2020-02-14,0.0,41257.73828125,0.0,0.0,0.0,0.0
2020-02-15,0.0,41055.69140625,0.0,0.0,0.0,0.0
2020-02-16,0.0,41055.69140625,0.0,0.0,0.0,0.0
2020-02-17,0.0,41055.69140625,0.0,0.0,0.0,0.0
2020-02-18,0.0,40894.37890625,0.0,0.0,0.0,0.0
2020-02-19,0.0,41323.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,41170.12109375,0.0,0.0,0.0,0.0
2020-02-21,0.0,40363.23046875,0.0,0.0,0.0,0.0
2020-02-22,0.0,40363.23046875,0.0,0.0,0.0,0.0
2020-02-23,0.0,40363.23046875,0.0,0.0,0.0,0.0
2020-02-24,30000.0,40363.23046875,0.7432507173385585,0.7432507173385616,30000.0,30000.000000000124
2020-02-25,0.0,40281.19921875,0.0,0.7432507173385616,30000.0,29939.030214593447
2020-02-26,0.0,39888.9609375,0.0,0.7432507173385616,30000.0,29647.498830686738
2020-02-27,0.0,39745.66015625,0.0,0.7432507173385616,30000.0,29540.9904222275
2020-02-28,0.0,38297.2890625,0.0,0.7432507173385616,30000.0,28464.487567825374
2020-02-29,0.0,38144.01953125,0.0,0.7432507173385616,30000.0,28350.569878777667
2020-03-01,0.0,38144.01953125,0.0,0.7432507173385616,30000.0,28350.569878777667
2020-03-02,0.0,38144.01953125,0.0,0.7432507173385616,30000.0,28350.569878777667
2020-03-03,0.0,38623.69921875,0.0,0.7432507173385616,30000.0,28707.09215060478
2020-03-04,0.0,38409.48046875,0.0,0.7432507173385616,30000.0,28547.87391099991
2020-03-05,0.0,38470.609375,0.0,0.7432507173385616,30000.0,28593.308014420345
2020-03-06,0.0,37576.62109375,0.0,0.7432507173385616,30000.0,27928.850583089014
2020-03-07,0.0,35634.94921875,0.0,0.7432507173385616,30000.0,26485.701569159155
2020-03-08,0.0,35634.94921875,0.0,0.7432507173385616,30000.0,26485.701569159155
2020-03-09,0.0,35634.94921875,0.0,0.7432507173385616,30000.0,26485.701569159155
2020-03-10,0.0,35697.3984375,0.0,0.7432507173385616,30000.0,26532.116995792323
2020-03-11,0.0,35697.3984375,0.0,0.7432507173385616,30000.0,26532.116995792323
2020-03-12,0.0,32778.140625,0.0,0.7432507173385616,30000.0,24362.3765325555
2020-03-13,0.0,34103.48046875,0.0,0.7432507173385616,30000.0,25347.436322140064
2020-03-14,0.0,31390.0703125,0.0,0.7432507173385616,30000.0,23330.69227707351
2020-03-15,0.0,31390.0703125,0.0,0.7432507173385616,30000.0,23330.69227707351
2020-03-16,0.0,31390.0703125,0.0,0.7432507173385616,30000.0,23330.69227707351
2020-03-17,0.0,30579.08984375,0.0,0.7432507173385616,30000.0,22727.930461927514
2020-03-18,0.0,28869.509765625,0.0,0.7432507173385616,30000.0,21457.283842513392
2020-03-19,0.0,28288.23046875,0.0,0.7432507173385616,30000.0,21025.247588136994
2020-03-20,0.0,29915.9609375,0.0,0.7432507173385616,30000.0,22235.059426669264
2020-03-21,0.0,25981.240234375,0.0,0.7432507173385616,30000.0,19310.57544154472
2020-03-22,0.0,25981.240234375,0.0,0.7432507173385616,30000.0,19310.57544154472
2020-03-23,30000.0,25981.240234375,1.1546792889551092,1.8979300062936701,60000.0,49310.5754415447
2020-03-24,0.0,26674.029296875,0.0,1.8979300062936701,60000.0,50625.44059129551
2020-03-25,0.0,28535.779296875,0.0,1.8979300062936701,60000.0,54158.91178051275
2020-03-26,0.0,29946.76953125,0.0,1.8979300062936701,60000.0,56836.8724849204
2020-03-27,0.0,29815.58984375,0.0,1.8979300062936701,60000.0,56587.902619797926
2020-03-28,0.0,28440.3203125,0.0,1.8979300062936701,60000.0,53977.73730969712
2020-03-29,0.0,28440.3203125,0.0,1.8979300062936701,60000.0,53977.73730969712
2020-03-30,0.0,28440.3203125,0.0,1.8979300062936701,60000.0,53977.73730969712
2020-03-31,0.0,29468.490234375,0.0,1.8979300062936701,60000.0,55929.1318559923
2020-04-01,0.0,28265.310546875,0.0,1.8979300062936701,60000.0,53645.58102412301
2020-04-02,0.0,27590.94921875,0.0,1.8979300062936701,60000.0,52365.69042439052
2020-04-03,0.0,27590.94921875,0.0,1.8979300062936701,60000.0,52365.69042439052
2020-04-04,0.0,30067.2109375,0.0,1.8979300062936701,60000.0,57065.46184384248
2020-04-05,0.0,30067.2109375,0.0,1.8979300062936701,60000.0,57065.46184384248
2020-04-06,0.0,30067.2109375,0.0,1.8979300062936701,60000.0,57065.46184384248
2020-04-07,0.0,30067.2109375,0.0,1.8979300062936701,60000.0,57065.46184384248
2020-04-08,0.0,29893.9609375,0.0,1.8979300062936701,60000.0,56736.64547025211
2020-04-09,0.0,31159.619140625,0.0,1.8979300062936701,60000.0,59138.77615167477
2020-04-10,0.0,30690.01953125,0.0,1.8979300062936701,60000.0,58247.508962098174
2020-04-11,0.0,30690.01953125,0.0,1.8979300062936701,60000.0,58247.508962098174
2020-04-12,0.0,30690.01953125,0.0,1.8979300062936701,60000.0,58247.508962098174
2020-04-13,0.0,30690.01953125,0.0,1.8979300062936701,60000.0,58247.508962098174
2020-04-14,0.0,30379.810546875,0.0,1.8979300062936701,60000.0,57658.75402243098
2020-04-15,0.0,30379.810546875,0.0,1.8979300062936701,60000.0,57658.75402243098
2020-04-16,0.0,30602.609375,0.0,1.8979300062936701,60000.0,58081.61060369648
2020-04-17,0.0,31588.720703125,0.0,1.8979300062936701,60000.0,59953.18088289102
2020-04-18,0.0,31648.0,0.0,1.8979300062936701,60000.0,60065.688839182076
2020-04-19,0.0,31648.0,0.0,1.8979300062936701,60000.0,60065.688839182076
2020-04-20,0.0,31648.0,0.0,1.8979300062936701,60000.0,60065.688839182076
2020-04-21,30000.0,30636.7109375,0.9792173860046886,2.8771473922983546,90000.0,88146.3329824266
2020-04-22,0.0,31379.55078125,0.0,2.8771473922983546,90000.0,90283.59270176724
2020-04-23,0.0,31863.080078125,0.0,2.8771473922983546,90000.0,91674.77775737099
2020-04-24,0.0,31327.220703125,0.0,2.8771473922983546,90000.0,90133.03135395113
2020-04-25,0.0,31743.080078125,0.0,2.8771473922983546,90000.0,91329.5200702952
2020-04-26,0.0,31743.080078125,0.0,2.8771473922983546,90000.0,91329.5200702952
2020-04-27,0.0,31743.080078125,0.0,2.8771473922983546,90000.0,91329.5200702952
2020-04-28,0.0,32114.51953125,0.0,2.8771473922983546,90000.0,92398.20612425052
2020-04-29,0.0,32720.16015625,0.0,2.8771473922983546,90000.0,94140.72346913921
2020-04-30,0.0,33717.62109375,0.0,2.8771473922983546,90000.0,97010.56560438681
2020-05-01,0.0,31715.349609375,0.0,2.8771473922983546,90000.0,91249.73542444392
2020-05-02,0.0,31715.349609375,0.0,2.8771473922983546,90000.0,91249.73542444392
2020-05-03,0.0,31715.349609375,0.0,2.8771473922983546,90000.0,91249.73542444392
2020-05-04,0.0,31715.349609375,0.0,2.8771473922983546,90000.0,91249.73542444392
2020-05-05,0.0,31453.509765625,0.0,2.8771473922983546,90000.0,90496.3836007988
2020-05-06,0.0,31685.75,0.0,2.8771473922983546,90000.0,91164.57298551759
2020-05-07,0.0,31443.380859375,0.0,2.8771473922983546,90000.0,90467.24124459477
2020-05-08,0.0,31642.69921875,0.0,2.8771473922983546,90000.0,91040.70954250774
2020-05-09,0.0,31561.220703125,0.0,2.8771473922983546,90000.0,90806.28384374894
2020-05-10,0.0,31561.220703125,0.0,2.8771473922983546,90000.0,90806.28384374894
2020-05-11,0.0,31561.220703125,0.0,2.8771473922983546,90000.0,90806.28384374894
2020-05-12,0.0,31371.119140625,0.0,2.8771473922983546,90000.0,90259.33362893022
2020-05-13,0.0,32008.609375,0.0,2.8771473922983546,90000.0,92093.48699437792
2020-05-14,0.0,31122.890625,0.0,2.8771473922983546,90000.0,89545.14360250566
2020-05-15,0.0,31097.73046875,0.0,2.8771473922983546,90000.0,89472.75412456115
2020-05-16,0.0,30028.98046875,0.0,2.8771473922983546,90000.0,86397.80284904229
2020-05-17,0.0,30028.98046875,0.0,2.8771473922983546,90000.0,86397.80284904229
2020-05-18,0.0,30028.98046875,0.0,2.8771473922983546,90000.0,86397.80284904229
2020-05-19,0.0,30196.169921875,0.0,2.8771473922983546,90000.0,86878.83154812067
2020-05-20,0.0,30818.609375,0.0,2.8771473922983546,90000.0,88669.68159754288
2020-05-21,30000.0,30932.900390625,0.969841160096719,3.846988552395075,120000.0,118998.51369511153
2020-05-22,0.0,30672.58984375,0.0,3.846988552395075,120000.0,117997.1020012157
2020-05-23,0.0,30609.30078125,0.0,3.846988552395075,120000.0,117753.62970228637
